anomaly_id,mission,get_report,get_diagnosis,subsystem,crew_observed,symptom_report,exchange_quote,established_cause,cause_confidence,in_corpus,diagnosed_in_flight,mc_turns,mc_time_s,notes
A09-023,Apollo 9,,,structures,false,Axial accelerometer data indicated that lateral loads at S-IC (first-stage) shutdown probably caused the LM descent-tank helium diffuser flange to contact the upper-deck sheet-metal flange.,,Lateral loads at S-IC shutdown caused a momentary structural contact; no detectable effect on any system or vehicle performance. Reduced loads predicted for Apollo 10. Closed for Apollo 10 (integrity evaluation continuing for Apollo 11+).,high,,false,,,"Detected via accelerometer/telemetry data, not by the crew."
A09-024,Apollo 9,,,GNC,true,Pressing the DEDA CLEAR pushbutton frequently illuminated the operator-error light; four or five presses were often needed before it stayed out.,,"One of the two CLEAR microswitches intermittently failed to actuate (suspected slightly bent switch leaf or small contamination), so the abort-electronics discrete that resets the shift discrete was not issued and the error light re-lit on release. Switch-jumper mod for Apollo 11+. Closed.",high,true,false,,,Crew reported repeatedly; cause from postflight teardown/analysis (no contamination actually found).
A09-025,Apollo 9,,,LM DPS,true,"During the second descent-engine firing the engine ran rough at about 27% throttle for a few seconds (oxidizer then fuel interface pressures rose, chamber pressure fluctuated), then smoothed out.",,Helium ingestion into the propellant lines (zero-g can uncovered plus lateral/rotational accelerations with ~60% ullage) caused cavitation/chamber-pressure fluctuations; matched ground tests with helium deliberately introduced. No detrimental effect. Closed.,high,true,false,,,Observed in firing data (and by crew); cause established by ground testing.
A09-026,Apollo 9,,,LM APS,false,"At the start of the second ascent-engine firing the regulated helium pressure to the propellant tanks dropped from 186 to 176 psia (nominal 184) for most of the burn, then stepped up to ~179 psia at 290 s until oxidizer depletion.",,Most likely contamination of the class I primary helium regulator (restricting the feedback line or binding the main piston) so the class II regulator controlled; likelihood raised by backflow during a launch-site solenoid-valve replacement (no in-line filter). Assessment pending. Anomaly OPEN.,high,,false,,,The only anomaly the report left OPEN pending detailed test-data review. Telemetry-detected.
A09-027,Apollo 9,,,EVA,true,After the EVA the Lunar Module Pilot removed his liquid-cooled garment and found many air bubbles entrained in the liquid tubes.,,Air ingested through the sublimator into the coolant loop when the PLSS was connected to the LCG in the pressurized cabin (make-up line location draws air whenever LCG pressure is below PLSS pressure). PLSS make-up line relocated for Apollo 11. Closed.,high,false,false,,,Crew noted the bubbles; cause established by analysis/ground tests.
A09-028,Apollo 9,,,EVA,true,"When the crew tried to restow the oxygen purge system (OPS) pallet, the locking pin could not be inserted all the way through the LM bulkhead into the pallet.",,"Bulkhead-bracket hole location plus adjacent-structure interference, poor lighting and an awkward insertion angle. Apollo 9 was the only mission using this pallet/location; OPS relocated and a ball-detent pin used on Apollo 10+. Closed.",high,false,false,,,Crew-encountered stowage difficulty; cause is a design/access issue.
A09-029,Apollo 9,,,EVA,true,"During docking, the sunlit command module background 'washed out' the reticle image of the LM crewman optical alignment sight (COAS).",,"The COAS neutral-density filter (fitted for night star visibility) plus excessive specular reflection off the CM (vehicle/sun/earth geometry) drove the background above ~10,000 foot-lamberts, overwhelming the ~80 foot-lambert reticle. Diffuser glass + snap-on filter and docking-attitude changes for Apollo 10+. Closed.",high,false,false,,,Crew observed during docking; cause from photometric analysis.
A09-030,Apollo 9,,,EVA,true,The checkout light on the Commander's oxygen purge system (OPS) operated erratically during the flight and failed to come on during rendezvous preparations.,,"The main power switch actuator mechanism did not close the switch. Actuator changes (Teflon insert, swivel joint, increased cam rise, bonded cam/switch) for Apollo 10+. Closed.",high,false,false,,,Crew observed erratic/failed light; cause from postflight examination.
A09-031,Apollo 9,,,comms,true,The Commander reported one loss of communications while using the lightweight headset and one while using the communications carrier.,,"Most probable cause a loose airlock sleeve on one of three connectors, or improper mating of the lightweight-headset connector to the suit harness/T-adapter (loose sleeves found postflight). Sleeves to be torqued and Loctited for Apollo 10+. Closed.",high,true,false,,,Crew reported; cause from postflight connector checks.
A10-001,Apollo 10,,,RCS,false,"When CM RCS system B propellant isolation valves were opened ~10 hr before launch, helium manifold pressure dropped from 44 to 37 psia, indicating a ruptured oxidizer burst disc.",,Oxidizer burst disc failed due to overpressure; postflight the oxidizer and fuel discs were similar in appearance confirming pressure failure. Redundant isolation valve allowed launch to proceed. CLOSED.,high,,false,,,Report item 15.1.1. Detected on the ground prelaunch via manifold pressure; managed by procedure.
A10-002,Apollo 10,,,RCS,false,"CM RCS system A helium manifold pressure decayed ~0.13 psi/hr after servicing 3.5 days before launch, dropping from 45 to 37 psia.",,"Slight leak in the low-pressure helium manifold on the fuel leg, at a rate acceptable for the mission; leak self-corrected as mission progressed. Postflight mass-spectrometer check found no leak. CLOSED.",high,,false,,,Report item 15.1.2. Ground-detected prelaunch.
A10-003,Apollo 10,,,GNC,true,"At 98:51:54, following undocking, the CM rendezvous radar transponder would not operate; self-test read all zeros.",,"CMP checked the circuit breaker and cycled the PWR-OFF-HEATER switch to OFF and back to PWR; transponder then worked for the rest of its use. Root cause left as an intermittent fault (SM wiring, power control box, transponder, or switch config); never conclusively isolated. CLOSED.",high,true,true,,,"Report item 15.1.3. CREW-DIAGNOSED/self-restored in flight by switch cycling; no crew-report->CapCom-diagnosis air-to-ground exchange located within the 2-fetch budget, so turns=-1."
A10-004,Apollo 10,,,ECLSS,false,Primary ECS evaporator started after lift-off but dried out after a few minutes; dried out again in second lunar orbit.,,Water-control microswitch actuator overtravel was marginal (as little as 0.0008 in beyond opening point); with environmental changes the switch would not always open to supply water. Found by postflight testing. Crew ran secondary cooling. CLOSED.,high,,false,,,Report item 15.1.4.
A10-005,Apollo 10,,,comms,true,"Twice during revolution 10, LM transmissions on VHF simplex-A were not received in the CM.",,"Most probable cause: due to numerous switch-configuration changes in both vehicles, the two spacecraft were not configured simultaneously for simplex-A. Crew worked around using simplex-B; simplex-A worked later. CLOSED.",medium,true,false,,,Report item 15.1.5. Crew noticed and worked around; probable cause from analysis.
A10-006,Apollo 10,,,EPS,false,"At 120:47, a short circuit in the AC pump package of fuel cell 1 tripped its circuit breaker; breaker could not be reset.",,"Phase-to-phase short, most probably an insulation breakdown in the hydrogen pump stator (hot moist hydrogen degrades insulation); a basic design life-limit. Determined by circuit analysis and endurance-test history. Crew kept the cell operative by managing bus/skin temperature. CLOSED.",high,,false,,,Report item 15.1.7. Detected via tripped breaker/telemetry.
A10-007,Apollo 10,,,EPS,false,"At 166:49, during a fuel-cell 1 hydrogen purge, hydrogen flow decayed abnormally slowly and regulated hydrogen pressure rose to 72 psia before returning to 62 psia.",,"Extended cryogenic purge cooled the regulator below -10 F, causing seal leakage (continued flow); with the vent-line heater off the vent blocked, raising regulated pressure. Reproduced in tests. Extended purges banned for future flights. CLOSED.",high,,false,,,Report item 15.1.8.
A10-008,Apollo 10,,,EPS,false,During the fuel-cell 1 purge the hydrogen automatic pressure control appeared to fail twice to turn tank heaters off; crew switched heaters on/off manually after 170.5 hr.,,"Hydrogen pressure transducers (temperature-compensated only to -20 F) were cold-soaked to -100 to -140 F during the extended purge and drifted upward, creating an apparent loss of automatic control. Determined by test. CLOSED.",high,,false,,,Report item 15.1.9.
A10-009,Apollo 10,,,GNC,true,Crew reported the gyro display coupler drifting excessively in roll and yaw (~5 deg in 20 min).,,"Crew drove the GDC from both gyro assemblies and saw similar indications, isolating the drift to the gyro display coupler itself. Postflight bench tests could not reproduce the reported rate; possibly the divergence was not actually as rapid as it appeared. CLOSED.",medium,true,true,,,Report item 15.1.10. CREW-DIAGNOSED: crew isolated cause to the GDC in flight. No timestamped crew-report->CapCom-diagnosis exchange sought/found; turns=-1.
A10-010,Apollo 10,,,instrumentation,false,Data storage equipment lost data three times during entry (~33 s of PCM and 2 s of voice).,,An outside-to-inside pressure differential of ~2.25 psi deformed the recorder cover into the tape reels; the vent valve cracked at 2.40 psid (high side of spec). Found by postflight testing. CLOSED.,high,,false,,,Report item 15.1.11.
A10-011,Apollo 10,,,GNC,true,The entry-monitor stylus stopped scribing while the scroll was driven to the entry pattern; after slewing back and forth it began cutting through the emulsion.,,"Scroll emulsion hardened due to a recent change in the commercially procured soap formulation (uric acid added), which reacted with the film. Determined postflight. Trace was still normal through entry. CLOSED.",high,true,false,,,Report item 15.1.12.
A10-012,Apollo 10,,,recovery,false,The VHF recovery beacon antenna did not properly deploy (radiating element and three ground-plane radials).,,One radial was caught under the outboard edge of the ramp. Observed in recovery photographs postflight; RF signals were still received. CLOSED.,high,,false,,,Report item 15.1.13.
A10-013,Apollo 10,,,ECLSS,true,Crew reported gas in the ground-serviced potable water; fuel-cell water also contained hydrogen.,,Water serviced non-deaerated under nitrogen at ~20 psia releases gas when drawn into the 5-psia cabin; deaeration would not help (bladder re-saturates). A whirling separator bag flown did not work; a membrane device adopted for future flights. CLOSED.,high,true,false,,,Report item 15.1.14.
A10-014,Apollo 10,,,ECLSS,true,The tunnel between the CM and LM could not be depressurized to ambient through the tunnel vent system.,,An incorrect fitting had been installed on the vent; the proper part was specified in procedures but the end-to-end verification test had been waived on Apollo 10. Found by postflight inspection. CLOSED.,high,true,false,,,Report item 15.1.16. Directly caused the later LM cabin-pressure drop at jettison (15.2.12).
A10-015,Apollo 10,,,structures,true,"When the LM cabin was first pressurized, thermal coating on the CM forward (docking) hatch came off in pieces.",,"Insulation-blanket vent holes were plugged (possibly by preflight 900 F bake weakening the insulation, or holes sealed by RTV/H-film tape), so tunnel depressurization damaged the coating. Insulation deleted for Apollo 11. CLOSED.",high,true,false,,,Report item 15.1.17.
A10-016,Apollo 10,,,EPS,true,"At 134 hr the crew reported fuel-cell 2 condenser exit temperature cycling 149-168 F at ~2 cycles/min, triggering the low-temperature caution/warning about every tenth cycle.",,Condenser-exit temperature disturbances excited oscillations under low radiator temperature (<80 F) and high current (two-fuel-cell operation forced by the fuel-cell 1 pump failure). Mechanism still under study. Non-detrimental nuisance. OPEN.,high,true,false,,,Report item 15.1.21. Listed as OPEN in the report.
A10-017,Apollo 10,,,recovery,false,Recovery forces saw the flashing light operating on the main parachutes but not after landing.,,Postflight the glass tube containing the flashing element was found cracked; replacing the bulb assembly restored operation. Further analysis pending. OPEN; a separate Anomaly Report to be published.,high,,false,,,Report item 15.1.23. Listed as OPEN.
A10-018,Apollo 10,,,GNC,true,A master alarm and engine pitch gimbal fail warning were received during the descent-engine phasing maneuver.,,"Gimbal 'coasting' (spring-loaded brake failing to engage after drive-signal removal) allowed ~0.25 s of uncommanded movement at a command reversal, tripping the fail logic; not detrimental and not unexpected (seen in checkout). Brake redesigned for Apollo 11. CLOSED.",high,true,false,,,Report item 15.2.1.
A10-019,Apollo 10,,,instrumentation,true,"Crew reported three master alarms during the descent-engine phasing maneuver, including a descent propellant low-quantity indication that cleared when the alarm was reset.",,A gas bubble uncovered/latched the low-level propellant sensor; plus a probable intermittent wire/electronics/connector fault (and intermittent tone) to match crew observations. Descent low-quantity alarm removed from master alarm for Apollo 11. CLOSED.,high,true,false,,,Report item 15.2.2.
A10-020,Apollo 10,,,comms,false,At the start of revolution 13 the LM S-band steerable antenna did not track; signal strength gradually fell ~20 dB over 13 min.,,Antenna was not moving; probable cause the track-mode switch was inadvertently left in SLEW or OFF instead of AUTO (crew reported the switch may have been mis-set). Antenna worked before and after. CLOSED.,medium,,false,,,Report item 15.2.4. Ground noticed the signal decay.
A10-021,Apollo 10,,,GNC,true,"Crew reported three optical anomalies with the LM alignment optical telescope: hair-like reticle contamination, a dimmer thumbwheel that fell forward, and stars disappearing ~6 star-diameters from reticle center.",,Reticle contamination via the redirectional-mirror air gap; the dimmer behavior is normal (mechanical cam override); star disappearance likely a contaminated prism surface (e.g. fingerprint smudge). Determined by analysis. CLOSED.,high,true,false,,,Report item 15.2.5 (AOT).
A10-022,Apollo 10,,,ECLSS,true,Crew reported gas in the LM drinking water.,,Nitrogen used to pressurize the water permeates the bladder and saturates the water within ~100 hr; released as pressure drops. Unserviced hose/gun/plumbing added entrapped air. Prelaunch servicing changed. CLOSED.,high,true,false,,,Report item 15.2.6.
A10-023,Apollo 10,,,GNC,true,The LM yaw rate gyro output differed from actual yaw rate for ~50 s before staging and several seconds after (erroneously indicating about -1.7 deg/s).,,"Suspected stiction from contamination lodged in the 0.002-0.003 in float-to-case clearance (this gyro had a contamination/stiction rebuild history), cleared by the high rates after staging. Determined by analysis postflight; the report states the crew diagnosed the gyro problem in flight. CLOSED.",high,true,true,,,"Report item 15.2.10. CREW-DIAGNOSED in flight. Report (15.2.14) states verbatim: 'The gyro problem was properly diagnosed by the crew after a number of hand controller operations.' This was a crew self-diagnosis during a dynamic staging event, not a crew-report->CapCom-diagnosis exchange; the migrated AFJ 'A surprise at staging' page did not render a timestamped transcript (grep found no GET timestamps/speaker lines), so turns=-1 per the hard rule. get_report/get_diagnosis unknown."
A10-024,Apollo 10,,,instrumentation,false,Multiple LM instrumentation discrepancies: RCS chamber-pressure switches failing closed; glycol temperature reading zero on pump-2; RCS-A/B manifold pressure transducers dropping/reading low; cask thermal-shield temperature at upper limit; descent oxidizer tank ullage pressure reading zero on the cabin display.,,Various: particulate/propellant contamination holding pressure-switch diaphragms closed; broken jumper / bad contact in the pump-2 switch position; defective wiring splice or transducer calibration shift; broken wire / failed baroswitch on the cask measurement; transducer or wiring fault on descent oxidizer display. RCS performance unaffected. CLOSED.,high,,false,,,Report item 15.2.11 (grouped instrumentation discrepancies).
A10-025,Apollo 10,,,structures,false,"During LM ascent-stage jettison/separation from the CM, LM cabin pressure dropped rapidly from 4.86 psia to ~0.70 psia (measured by three transducers).",,"Because the tunnel could not be vented (capped vent line, item 15.1.16), separation-pyro pressure loading exceeded the LM upper hatch latch capability; the hatch opened and reclosed within ~0.3 s, venting the cabin. Determined from motion pictures, telemetry, and static hatch pressure-to-failure test (latch failed at 4.1 psid). CLOSED.",high,,false,,,Report item 15.2.12. Crew already back in the CM; telemetry/film-based diagnosis.
A10-026,Apollo 10,,,ECLSS,false,"Indicated LM cabin CO2 rose from 97-101 hr about 8x faster than predicted, then stayed constant for ~5 hr.",,Combination of lithium hydroxide cartridge performance variability (optimistic flight prediction) and CO2-sensor tolerance (+/-10% of full scale); no channeling or bypass found. Adequate for Apollo 11; more testing for longer missions. CLOSED.,high,,false,,,Report item 15.2.13.
A10-027,Apollo 10,,,GNC,true,Large LM attitude excursions before and during staging: body rates of 19 deg/s pitch and >25 deg/s roll and yaw; the AGS mode indication changed from ATT HOLD to AUTO with the vehicle 'wallowing' and gyrating.,,"Concluded (postflight, by elimination of switches/connectors/wiring) to be inadvertent cycling of the abort-guidance mode-control switch to AUTO while the crew reacted to the erroneous yaw rate gyro output; AGS Z-axis steering then commanded the LM to point its Z-axis at the CM. Crew recovered manually in real time. CLOSED.",high,true,false,,,"Report item 15.2.14. The famous LM staging gyrations. Crew recognized/recovered in flight but the documented root cause (inadvertent switch cycling) is a postflight conclusion, hence diagnosed_in_flight=false. No timestamped CapCom diagnostic exchange located; turns=-1."
A10-028,Apollo 10,,,APS,true,The ascent-propulsion low-propellant warning light came on ~1 s after the start of the first ascent-engine firing and triggered a master alarm; it went out ~1 s later.,,A gas bubble momentarily uncovered the (non-latching) oxidizer low-level sensor during the +X settling firing; valid indication. +X settling firing time to be increased. CLOSED.,high,true,false,,,Report item 15.2.15.
A10-029,Apollo 10,,,camera,true,During the low-altitude lunar pass the LM Hasselblad 70-mm camera stopped due to film binding in the magazine.,,"Internal damage to the film-advance mechanism (burrs on the film guide) scraped emulsion onto the rollers, overloading the drive motor until it failed; the 1.6 A fuse protects against shorts but not continuous overload. Found postflight. CLOSED.",high,false,false,,,Report item 15.3.1 (GFE).
A10-030,Apollo 10,,,camera,true,During the low-altitude pass the LM 16-mm camera failed to operate with magazine F installed.,,Marginal clearances at the camera/magazine interface required greater care with magazine F; crew swapped in magazine G and the camera worked (magazine F worked later). Clearance-selection screening added. CLOSED.,high,false,false,,,Report item 15.3.2 (GFE). Crew worked around by swapping magazines; root cause found postflight.
A10-031,Apollo 10,,,camera,true,At ~173 hr (transearth coast) the CM 16-mm camera ceased operating in pulse mode.,,The magazine interlock microswitch failed due to internal contamination and a faulty plunger (a non-high-reliability item). High-reliability microswitches installed for Apollo 11. CLOSED.,high,false,false,,,Report item 15.3.3 (GFE).
A11-001,Apollo 11,,,SPS,false,"During the lunar orbit insertion firing, gaseous nitrogen in the redundant service propulsion engine actuation system decayed from 2307 to 1883 psia, indicating a leak downstream of the injector prevalve; no performance degradation, one system only.",,Contamination-induced failure of a solenoid control valve; suspected source a contaminated vendor facility manifold. Anomaly closed.,high,,false,,,Telemetry-detected during LOI; integral filters added on Apollo 12+.
A11-002,Apollo 11,,,EPS,false,Automatic pressure control data showed one of the two heater elements in cryogenic oxygen tank 2 was inoperative; detected in launch-countdown current readings.,,Probable intermittent contact on a 16-gauge terminal board in the heater circuit; redundant heater so no mission constraint. Anomaly closed.,high,,false,,,Cryogenic oxygen (fuel-cell/ECS) tank heater. Not reported to proper channels preflight because no spec limits were in the test procedure.
A11-003,Apollo 11,,,RCS,false,Minus-yaw engine in command module reaction control system 1 produced low and erratic thrust when fired through the automatic coils; normal on direct coils.,,Two loose pins in the engine-valve terminal board caused intermittent continuity to the automatic coils; improper clip position relative to bus-bar counterbore. Anomaly closed.,medium,,false,,,Verified by spacecraft rates; root cause found in postflight tests.
A11-004,Apollo 11,,,GNC,true,An electroluminescent segment on the entry monitor system velocity counter numeric display would not illuminate.,,"Misrouting of logic wires across terminal strips with sharp ends puncturing insulation, causing shorts (consistent with prior similar cases). Anomaly closed.",high,true,false,,,"Crew-observed display fault; cause established postflight, no in-flight diagnosis exchange."
A11-005,Apollo 11,,,ECLSS,true,"During initial lunar-module pressurization, two master alarms were activated as the oxygen flow rate was decreasing from full scale.",,Open EMI-filter (metalized Mylar) capacitor in the oxygen flow sensing circuit allowed relay K1 chatter that timed out a false master alarm. Nuisance only. Anomaly closed.,high,true,false,,,Same condition seen in altitude-chamber tests preflight; duplicated postflight.
A11-006,Apollo 11,,,RCS,false,The propellant isolation valves on quad B of the service module RCS closed during CSM/S-IVB separation.,,Separation shock closed the magnetically latched valves (similar to Apollo 9); crew checklist already contained precautionary reopen guidance. Anomaly closed.,high,,false,,,Indication/telemetry event.
A11-007,Apollo 11,,,structures,true,An odor similar to burned wire insulation was detected in the docking tunnel when the hatch was first opened; no discoloration or overheating found.,,Outgassing of the docking-hatch ablator (higher ablator temperatures after removal of outer TG-15000 insulation). Anomaly closed.,high,true,false,,,Crew investigated circuits in flight; odor source identified by postflight comparison samples.
A11-008,Apollo 11,,,ECLSS,false,Shortly after launch the oxygen flow-rate indication read at the lower instrumentation limit rather than the nominal metabolic rate.,,Instrumentation bias (~1.5 lb/hr) from an increase in heater-winding resistance (1000 to 1600 ohms) in the flow-sensor bridge; actual flow normal. Anomaly closed.,high,,false,,,Instrumentation-only; confirmed by postflight transducer tests.
A11-009,Apollo 11,,,structures,false,Postflight examination found all but one tie-wrap knot untied on the forward heat shield mortar umbilical lanyard.,,"Installation error: a clove hitch used instead of two half-hitches; could untie and lengthen the lanyard, risking premature disconnect of the forward heat shield mortar umbilical. Anomaly closed.",high,,false,,,Purely postflight finding on CM 107 (and SC 110/111).
A11-010,Apollo 11,,,ECLSS,false,During lunar orbit operations the glycol temperature control valve did not control evaporator inlet temperature; early temperature rise then evaporator outlet dropped to 31 F on revolution 15.,,A bearing retainer in the valve gear train disengaged from its race and interfered with worm-gear travel; high stall thrust loads exceeded the bearing rating. Anomaly closed.,high,,false,,,Anomaly cleared when crew cycled the glycol evaporator temp inlet switch; root cause found by postflight valve teardown.
A11-011,Apollo 11,,,structures,false,"After jettison the service module did not skip out as designed; C-band tracking showed low separation velocity, the crew sighted it ~5 minutes later, and aircraft photos showed it entering and disintegrating near the command module.",,"Propellant sloshing driven by tip-off/precession made the SM unstable, reducing net separation velocity (also seen on Apollo 8 and 10); jettison controller timing revised for Apollo 13+. Anomaly closed.",high,,false,,,Trajectory/design anomaly analyzed postflight; crew sighting noted but not a diagnosis.
A11-012,Apollo 11,,,GNC,true,The crew reported shortly after lunar landing that the mission timer had stopped and could not be restarted; power was removed to let it cool and it was restarted ~11 hours later.,,Most probable cause a cracked solder joint from cordwood construction (differential expansion of potting compound); cooling let the joint remake contact. Anomaly closed.,medium,true,false,,,"Crew reported and empirically worked around (power off to cool); root cause was a postflight probable-cause conclusion, not an in-flight ground diagnosis."
A11-013,Apollo 11,,,propulsion,false,"During simultaneous venting of descent propellant and supercritical helium tanks, fuel froze in the fuel/helium heat exchanger and post-landing engine heat soakback raised trapped-line pressure into an out-of-range regime.",,Fuel frozen in the heat exchanger then thermally expanded by descent-engine heat soakback; line pressure likely 700-800 psia; heat exchanger thawed in ~0.5 hr and pressure decayed harmlessly. Anomaly closed.,high,,false,,,Telemetry-monitored DPS pressure; interface transducer range 0-300 psia so value inferred. Procedure change (close solenoid valve before fuel vent) for later missions.
A11-014,Apollo 11,,,ECLSS,true,Shortly after lunar module ascent the crew reported the carbon dioxide partial pressure indication was high and erratic; switching LiOH canisters had no effect and a caution/warning alarm activated.,,"Free water reached the optical section of the CO2 sensor (condensate from the drain tank leaking up the vent line), disturbing the light-transmission measurement. Anomaly closed; vent line relocated on Apollo 13.",high,true,false,,,Crew reported and tried canister swap; root cause established postflight.
A11-015,Apollo 11,,,comms,false,"When the steerable (S-band) antenna was selected after acquisition on revolution 14, down-link signal strength was lower than predicted and repeatedly dropped to loss-of-lock.",,Antenna pointed into/near vehicle-blockage regions plus multipath from the lunar surface; the Spacecraft Operational Data Book coverage diagram was in error and omitted the added thruster plume deflectors. Anomaly closed.,high,,false,,,Comm-performance anomaly; antenna hardware operated properly. Cause analyzed postflight.
A11-016,Apollo 11,102:38:26,102:38:53,GNC,true,"Five computer (guidance) program alarms of the Executive-overflow type (1202, then a 1201) occurred during powered descent prior to low gate; guidance and control performance was not affected.",102:38:26 Armstrong: 'Program Alarm.' / 102:38:30 Armstrong: 'It's a 1202.' / 102:38:32 Aldrin: '1202.' / 102:38:48 Armstrong: 'Give us a reading on the 1202 program alarm.' / 102:38:53 Duke (CapCom): 'Roger. We got you... we're go on that alarm.',"Rendezvous-radar coupling-data-unit counter interrupts (from a phase mismatch between two 800-Hz references) usurped >10-15% of computer time, causing multiple scheduling of the same job and software restarts; the AGC priority design protected critical guidance jobs. Anomaly closed; Luminary 1B ignores those interrupts.",high,true,true,2,27,"THE crew-report -> real-time ground-diagnosis anomaly. Steve Bales (GUIDO) and backroom Jack Garman assessed the AGC and passed a GO via CapCom Charlie Duke. Turn count counts the crew's alarm report/reading-request downlink and CapCom's GO uplink as the diagnostic exchange (~27 s from first callout at 102:38:26 to GO at 102:38:53). Timestamps corroborated across NASA transcript, ALSJ program-alarms page, and RMG; exact integer turn count is a judgment (2)."
A11-017,Apollo 11,,,EVA,true,Decompression of the cabin prior to extravehicular activity took longer than anticipated (~5 minutes).,,Flow restriction of the bacteria filter in the vent path; removing it on Apollo 12+ cut decompression time to under 2 minutes. Crew could not damage the hatch by opening prematurely. Anomaly closed.,high,false,false,,,Crew-experienced ECLSS/EVA egress issue; assessed postflight.
A11-018,Apollo 11,,,GNC,true,"An electroluminescent segment on the abort guidance system data entry and display assembly (DEDA) numeric display was reported inoperative, making 3 and 9 hard to distinguish.",,Analogous delta-qual failure traced to a faulty epoxy process producing a cracked/open electrode in the light-emitting element; no generic-problem history. Anomaly closed.,high,true,false,,,"Crew-reported display fault (AGS/DEDA); cause from analysis, no in-flight diagnosis exchange."
A11-019,Apollo 11,,,comms,false,"Voice-operated relay operation during EVA caused breakup of voice received by the Manned Space Flight Network, primarily from the Lunar Module Pilot.",,Most probable cause an inadvertent low setting of the Commander's LM VOX sensitivity control (should have been maximum per checklist); not an inherent design problem. Anomaly closed.,high,,false,,,Ground-observed (MSFN) comm quality issue during EVA; cause from ground tests.
A11-020,Apollo 11,,,comms,false,A voice turnaround (echo) was heard during EVA while the lunar module operated in relay mode.,,Acoustical/mechanical coupling between the communications-carrier earphone and microphone re-keyed the relay; inherent to the comm-carrier design. Mitigated by inhibiting down-link remoting during up-link voice. Anomaly closed.,high,,false,,,Duplicated in the laboratory; EVA comm relay path.
A11-021,Apollo 11,,,comms,false,"The data storage electronics assembly (onboard recorder) did not record properly; postflight playback showed low, noisy voice with a 400-Hz tone and missing timing-code switching.",,Most probable cause two broken 26-gauge wires in the vehicle harness to the recorder (similar breaks found in LTA-8); harness protection added on later vehicles. Anomaly closed.,high,,false,,,Discovered on postflight tape playback; instrumentation/recorder.
A11-022,Apollo 11,,,structures,true,The crew reported after EVA that the knob on the engine-arm circuit breaker was broken (and two other breakers were closed); the breaker was still successfully closed for ascent.,,Probable impact of the oxygen purge system (aft edge) against the circuit breaker during EVA preparation; breaker guards added on Apollo 12+. Anomaly closed.,high,true,false,,,Famous 'broken engine-arm breaker' repaired by crew with a marker; report attributes damage to OPS impact (postflight).
A11-023,Apollo 11,,,RCS,true,"The chamber pressure switch monitoring the quad 2 aft-firing ascent-stage engine (A2A) showed slow response and failed to respond to seven consecutive minimum-impulse commands just before terminal phase initiation, giving a master alarm and thruster warning flag that the crew reset.",,"Most probable cause particulate contamination in the switch inlet passage, reducing chamber-gas flow and slowing switch closing response; engine itself operated normally. Anomaly closed.",high,true,false,,,Crew reset the alarm/flag but did not troubleshoot; cause determined postflight.
A11-024,Apollo 11,,,ECLSS,true,"After the lunar module reached orbit, water (about a tablespoon) began entering the Commander's suit in spurts at ~1-minute intervals through the suit half-vent duct.",,"Most probable source leakage through the water-separator selector valve (misalignment/binding), letting free water pass the idle separator into the suit hose. Anomaly closed.",medium,true,false,,,"Crew self-resolved empirically by selecting the secondary water separator (spurts stopped); root cause was a postflight most-probable-source conclusion, no air-to-ground diagnosis exchange, so -1."
A11-025,Apollo 11,,,RCS,true,"The crew reported thrust chamber assembly warning flags for three engine pairs (quads 2 and 4 system A simultaneously, then quad 4 system B) during LM station keeping and before powered descent initiation, believed accompanied by master alarms.",,Most likely a single-point failure (momentary loss of +28 V dc or oscillator to a 10-buffer module in the signal conditioner electronics) that cleared itself; sufficient data not available to confirm. Anomaly closed.,medium,true,false,,,"Crew reported and reset flags; cause uncertain, established (tentatively) postflight."
A11-026,Apollo 11,,,EVA,false,"The lunar-surface television camera cable retained its coiled shape after deployment, creating loops that were a tripping hazard to the crew.",,"Cable memory of coiled stowage; investigated material/stowage changes gave only minimal improvement at a weight penalty, so no hardware change made. Anomaly closed.",high,,false,,,Government-furnished equipment (TV camera cable); observed on surface.
A11-027,Apollo 11,,,EVA,true,During EVA preparation the crew had considerable difficulty mating the electrical connectors from the remote control unit to the portable life support system.,,"The coupling lock ring rotated freely on the connector shell, preventing rotational polarization alignment; connector redesigned (positive-position lock ring, conical-tipped pins) for later missions. Anomaly closed.",high,false,false,,,GFE crew-interface anomaly; cause understood from hardware.
A11-028,Apollo 11,,,EVA,true,"The force required to close the sample return containers was much higher than expected, made worse by an unstable work table and inadequate retention.",,Contractor cleaning procedure removed all lubricant from the latch linkage (raising closing force up to ~24 lb) and the flight container had not been exercised like the training unit; burnishing lubricant after cleaning incorporated. Anomaly closed.,high,false,false,,,"GFE (sample return containers); crew-experienced, cause from ground tests."
